f1,precision,recall,abs_spd,di,metodo,base_treino,serie_treino,vies_treino
0.9969586971450995,0.9943248532289628,0.999606531575841,0.35033458710640153,0.5836215589910856,lr_sem_mitigacao,pd_v0,PD,0.0
0.9945216200352182,0.9891029383148473,1.0,0.3488301269008979,0.5844880953215533,lr_balanceado,pd_v0,PD,0.0
0.9938410401798807,0.9877574815390595,1.0,0.3483463339642747,0.5848251148163846,lr_reponderado,pd_v0,PD,0.0
0.9562852146881679,0.9445403953175974,0.9683257918552036,0.3041178979782323,0.630724918945364,prejudice_remover_eta10,pd_v0,PD,0.0
0.9990135635018496,0.9980290711998029,1.0,0.6812797587780219,0.30718201590010236,lr_sem_mitigacao,pd_v0,PD,0.0
0.9921626255204506,0.9844471445929526,1.0,0.6784325977240304,0.3075574855989404,lr_balanceado,pd_v0,PD,0.0
0.9875670404680643,0.975439441367686,1.0,0.6748108302803274,0.30921619057390365,lr_reponderado,pd_v0,PD,0.0
0.8707768187422935,0.8699186991869918,0.8716366329301407,0.5562011741305425,0.4139965732822714,prejudice_remover_eta10,pd_v0,PD,0.0
0.9969086651053864,0.9962553828870998,0.9975628046494188,0.7076244961533662,0.2628029748685199,lr_sem_mitigacao,pd_v0,PD,0.0
0.990709773318469,0.98195211786372,0.9996250468691413,0.7045163469374162,0.2618524647573273,lr_balanceado,pd_v0,PD,0.0
0.988689041349898,0.9779897285399853,0.9996250468691413,0.7019789764137967,0.2630332761333868,lr_reponderado,pd_v0,PD,0.0
0.8960778700257658,0.9125364431486881,0.8802024746906637,0.5783752657945772,0.3769085432491376,prejudice_remover_eta10,pd_v0,PD,0.0
0.9951587916343919,0.9907460960092539,0.9996109706282824,0.8744827478114514,0.12315915224412369,lr_sem_mitigacao,pd_v0,PD,0.0
0.9881742140178829,0.9769961977186312,0.9996109706282824,0.8729333723962572,0.12109530055870642,lr_balanceado,pd_v0,PD,0.0
0.988364265794788,0.9773678204640548,0.9996109706282824,0.8687345903396425,0.12432445701960705,lr_reponderado,pd_v0,PD,0.0
0.8784139186728708,0.915068493150685,0.8445827659988329,0.7145482867170385,0.2652232522151405,prejudice_remover_eta10,pd_v0,PD,0.0
0.9880192587616169,0.9771871539313399,0.9990942028985508,0.05756427084432458,0.9285373990890498,lr_sem_mitigacao,pd_v0,PD,0.0
0.9835152595232791,0.9677772906619904,0.9997735507246377,0.056047363387829896,0.930145306332751,lr_balanceado,pd_v0,PD,0.0
0.9842826886634712,0.969264544456641,0.9997735507246377,0.05701497989561877,0.9290167773121313,lr_reponderado,pd_v0,PD,0.0
0.8829396325459318,0.8230573497749071,0.9522192028985508,0.0995507531487182,0.8753466861011596,prejudice_remover_eta10,pd_v0,PD,0.0
0.9956854285153952,0.9916015625,0.9998030720756204,0.0911255844923271,1.1353554227100124,lr_sem_mitigacao,pd_v0,PD,0.0
0.9871695178849145,0.9746641074856046,1.0,0.09426520256444604,1.1414769650849663,lr_balanceado,pd_v0,PD,0.0
0.9865941325043714,0.973542944785276,1.0,0.09560808528602172,1.1437822029814693,lr_reponderado,pd_v0,PD,0.0
0.9065939063210551,0.8423187426060503,0.9814887751083103,0.06834366961465299,1.1049706139010895,prejudice_remover_eta10,pd_v0,PD,0.0
0.9957597870032541,0.9948768472906404,0.9966442953020134,0.04353653181544248,1.061573975945778,lr_sem_mitigacao,pd_v0,PD,0.0
0.9920580449063634,0.9855834794467173,0.9986182392420055,0.044765225937000275,1.063672475923212,lr_balanceado,pd_v0,PD,0.0
