base_treino,serie_treino,vies_treino,base_teste,serie_teste,vies_teste,eta,usou_modelo_padrao,f1,recall,precision,spd,abs_spd,di,n_priv_teste,n_depriv_teste
pd_v0,PD,0.0,pd_v0.25,PD,0.25,0.0,True,0.9945216200352182,1.0,0.9891029383148473,-0.3488301269008979,0.3488301269008979,0.5844880953215533,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,1.0,False,0.9770137524557957,0.9783592366712571,0.9756719639003335,-0.3242425195499292,0.3242425195499292,0.6116015385902868,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,5.0,False,0.9492519800528014,0.954947865433799,0.9436236391912908,-0.2920043561232333,0.2920043561232333,0.645433784093063,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,10.0,False,0.9562852146881679,0.9683257918552036,0.9445403953175974,-0.3041178979782323,0.3041178979782323,0.630724918945364,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,15.0,False,0.9525282799961327,0.9691127287035215,0.9365019011406844,-0.3027306466924673,0.3027306466924673,0.6311402335163528,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,25.0,False,0.9587898768544555,0.9726539445209522,0.9453154875717017,-0.30930246835112374,0.30930246835112374,0.6246500532942708,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,35.0,False,0.8814117216787053,0.9482589022230966,0.8233686368295183,-0.27792166692976195,0.27792166692976195,0.6455800635636589,14469,5531
pd_v0,PD,0.0,pd_v0.25,PD,0.25,50.0,False,0.7278181818181818,0.787527050954161,0.6765252661821869,-0.04589732606093222,0.04589732606093222,0.935972964637907,14469,5531
pd_v0,PD,0.0,pd_v0.5,PD,0.5,0.0,True,0.9921626255204506,1.0,0.9844471445929526,-0.6784325977240304,0.6784325977240304,0.3075574855989404,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,1.0,False,0.9472508377808118,0.9419896321895829,0.9525711432850724,-0.626540349376197,0.626540349376197,0.35476556932774495,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,5.0,False,0.8558797524314765,0.8363367069859294,0.8763579927573719,-0.5287130411500113,0.5287130411500113,0.44420681466028983,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,10.0,False,0.8707768187422935,0.8716366329301407,0.8699186991869918,-0.5562011741305425,0.5562011741305425,0.4139965732822714,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,15.0,False,0.8629120544945871,0.8755862749938287,0.850599520383693,-0.5553573466850822,0.5553573466850822,0.41130014555873,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,25.0,False,0.8902943322792508,0.903480622068625,0.877487413090386,-0.5824685829083336,0.5824685829083336,0.3873433964356862,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,35.0,False,0.764752520104202,0.8333744754381635,0.7065717873587275,-0.4782823624888368,0.4782823624888368,0.4637406628607031,14531,5469
pd_v0,PD,0.0,pd_v0.5,PD,0.5,50.0,False,0.41687216093445817,0.3964453221426808,0.4395183360700602,-0.12427669753628778,0.12427669753628778,0.8540125552223283,14531,5469
pd_v0,PD,0.0,pd_v0.75,PD,0.75,0.0,True,0.990709773318469,0.9996250468691413,0.98195211786372,-0.7045163469374162,0.7045163469374162,0.2618524647573273,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,1.0,False,0.9326968973747016,0.9158230221222348,0.9502042404201517,-0.621359314883794,0.621359314883794,0.34053686024441643,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,5.0,False,0.8644117937087072,0.8217097862767154,0.9117952985229874,-0.5307273518553991,0.5307273518553991,0.4292359849356881,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,10.0,False,0.8960778700257658,0.8802024746906637,0.9125364431486881,-0.5783752657945772,0.5783752657945772,0.3769085432491376,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,15.0,False,0.8885939129610315,0.8785151856017998,0.8989065797045847,-0.5726815710389155,0.5726815710389155,0.3795492963209964,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,25.0,False,0.9027104136947218,0.889763779527559,0.9160393746381007,-0.5892668129773349,0.5892668129773349,0.36633062204289446,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,35.0,False,0.8090326177864511,0.8160854893138357,0.8021006080707573,-0.4878463087081655,0.4878463087081655,0.4488249521738764,13586,6414
pd_v0,PD,0.0,pd_v0.75,PD,0.75,50.0,False,0.43439011284255774,0.3788901387326584,0.5089398136489549,-0.0831989413339389,0.0831989413339389,0.899534191008542,13586,6414
pd_v0,PD,0.0,pd_v1,PD,1.0,0.0,True,0.9881742140178829,0.9996109706282824,0.9769961977186312,-0.8729333723962572,0.8729333723962572,0.12109530055870642,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,1.0,False,0.8863754280377711,0.8307722233028594,0.9499555160142349,-0.7116743888280037,0.7116743888280037,0.2768098443624816,14130,5870
pd_v0,PD,0.0,pd_v1,PD,1.0,5.0,False,0.7917811229535215,0.7008364131491928,0.9098484848484848,-0.5894981017106908,0.5894981017106908,0.39539753377570874,14130,5870
