f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,feature_set,n_features
0.5749985471029232,0.40803365225998023,0.9732441471571907,0.16921764133193368,0.6159356780499219,pd_v0,PD,0.0,transacional_2,2
0.5132228610077781,0.3534563070616732,0.9365588743520118,0.2813104697230613,0.47927102731900595,pd_v0,PD,0.0,transacional_2,2
0.6110682721395101,0.446941431670282,0.9656917885264342,0.3075334433073243,0.4112795039068186,pd_v0,PD,0.0,transacional_2,2
0.6182086070354227,0.45165052027269464,0.979381443298969,0.42512565843331146,0.25071403846043516,pd_v0,PD,0.0,transacional_2,2
0.49430273584359996,0.33193505787306765,0.9676177536231884,0.0007999477629547225,1.0022475777091382,pd_v0,PD,0.0,transacional_2,2
0.5936942296252231,0.4253324241391067,0.9826703426545884,0.02970481019230581,1.076101543543132,pd_v0,PD,0.0,transacional_2,2
0.5663175771299179,0.3970156361616001,0.9873667587840506,0.057304281145375224,0.8640894899675602,pd_v0,PD,0.0,transacional_2,2
0.5197842816457614,0.35352786020441807,0.981239990848776,0.2621546149323927,0.5955741477626999,pd_v0,PD,0.0,transacional_2,2
0.41709183673469385,0.26739960021806286,0.9475209272376046,0.4497,0.0,pd_v0,PD,0.0,transacional_2,2
0.9701136255132244,0.9424860853432282,0.9994097973637616,0.34222892803858407,0.5852491532129765,pd_v0,PD,0.0,temporal_tipo_4,4
0.9608752527054346,0.927030748049564,0.9972846210812145,0.6813397688152638,0.29643631462090686,pd_v0,PD,0.0,temporal_tipo_4,4
0.9682337992376112,0.9384236453201971,1.0,0.7062473884160821,0.2505017169957122,pd_v0,PD,0.0,temporal_tipo_4,4
0.9800705635548774,0.9612794612794613,0.9996109706282824,0.8666059021184402,0.12202327404219111,pd_v0,PD,0.0,temporal_tipo_4,4
0.9549978364344439,0.9142502071251035,0.9995471014492754,0.036405496854871044,0.9532287647971096,pd_v0,PD,0.0,temporal_tipo_4,4
0.969176448134364,0.9401962599518607,1.0,0.08312079765550595,1.124918844239758,pd_v0,PD,0.0,temporal_tipo_4,4
0.9780866879042378,0.9571131683355375,1.0,0.05590452556577463,1.0816091648792778,pd_v0,PD,0.0,temporal_tipo_4,4
0.9705653670998556,0.9432210708117443,0.9995424388011896,0.22724867724867726,0.7702901457414093,pd_v0,PD,0.0,temporal_tipo_4,4
0.9392198367100091,0.8854047890535918,1.0,0.8246,0.0,pd_v0,PD,0.0,temporal_tipo_4,4
