f1,precision,recall,abs_spd,di,base_treino,serie_treino,vies_treino,volume
0.9767441860465116,0.9547247792598159,0.9998032657879206,0.3363631964042003,0.5932097050507878,pd_v0,PD,0.0,1000
0.968675274988044,0.9392534198933457,1.0,0.6695882331201574,0.30788258532728646,pd_v0,PD,0.0,1000
0.9702158666545223,0.9434898139946856,0.9985001874765654,0.6889207469803629,0.266080352193585,pd_v0,PD,0.0,1000
0.9663217309501411,0.935689560940062,0.9990274265707061,0.8613081739168177,0.11962641077512777,pd_v0,PD,0.0,1000
0.9715921603171108,0.9455636519502786,0.9990942028985508,0.0557476109244055,0.9300513703630469,pd_v0,PD,0.0,1000
0.9629278467810752,0.9285061254342659,1.0,0.09776374117511977,1.1502608859891417,pd_v0,PD,0.0,1000
0.9810587663914522,0.9657678332377128,0.9968416896960126,0.046664647863313036,1.0669944656959283,pd_v0,PD,0.0,1000
0.9713840329584679,0.9462039045553146,0.9979409746053535,0.20039682539682546,0.7921810699588476,pd_v0,PD,0.0,1000
0.9345794392523364,0.8786848072562359,0.9980682549903412,0.8236,0.0,pd_v0,PD,0.0,1000
0.9851701075894155,0.9709591134887275,0.9998032657879206,0.34226436561815543,0.5890953280676161,pd_v0,PD,0.0,2500
0.9748526049813501,0.9509389671361502,1.0,0.6747456107326184,0.305466567290807,pd_v0,PD,0.0,2500
0.9756410256410256,0.9536340852130326,0.9986876640419947,0.6946405374927169,0.26373955824808454,pd_v0,PD,0.0,2500
0.9721040189125295,0.9458962090541038,0.9998054853141413,0.871952217845728,0.1140659496541212,pd_v0,PD,0.0,2500
0.9754750331418471,0.9523295944779983,0.9997735507246377,0.0562099543146497,0.9296258766000337,pd_v0,PD,0.0,2500
0.971401243424199,0.9443927840803422,1.0,0.09705846548702646,1.1480058784286806,pd_v0,PD,0.0,2500
0.9844176081028437,0.9715494040753556,0.9976312672720095,0.047608100480443394,1.0682998395541994,pd_v0,PD,0.0,2500
0.9769420192522946,0.9563883410037256,0.9983985358041638,0.2090020576131687,0.7856389152685449,pd_v0,PD,0.0,2500
0.9534347625633933,0.9120846809761834,0.9987121699935608,0.82995,0.0,pd_v0,PD,0.0,2500
0.9904520654715511,0.9810847326770894,1.0,0.3459273692811591,0.5865160589732267,pd_v0,PD,0.0,5000
0.9848061261699282,0.9700670498084292,1.0,0.6752413447286718,0.3080442891218384,pd_v0,PD,0.0,5000
0.9853090640303058,0.971397340134815,0.9996250468691413,0.7004031553419116,0.26286487965952354,pd_v0,PD,0.0,5000
0.9815681405787413,0.9641651031894934,0.9996109706282824,0.8696672779290864,0.12043528472278364,pd_v0,PD,0.0,5000
0.9811111111111112,0.9631326352530541,0.9997735507246377,0.05625908018893233,0.9297952450578701,pd_v0,PD,0.0,5000
0.9804981656690481,0.9617424242424243,1.0,0.09552231786007515,1.1443333500841446,pd_v0,PD,0.0,5000
0.9899227081498875,0.9813773035887488,0.9986182392420055,0.04465580223359533,1.063607444408338,pd_v0,PD,0.0,5000
0.9838909541511772,0.9691522414558367,0.9990848776023793,0.21158142269253377,0.7841792409693644,pd_v0,PD,0.0,5000
0.9642635177128651,0.9318318318318318,0.9990341274951706,0.8335,0.0,pd_v0,PD,0.0,5000
0.9923857868020305,0.9848866498740554,1.0,0.34730963481436805,0.5855486098037863,pd_v0,PD,0.0,7500
0.9867251248325417,0.973798076923077,1.0,0.6745807687347429,0.3091596905712489,pd_v0,PD,0.0,7500
0.9866765358993338,0.9740591888929485,0.9996250468691413,0.7008186906760481,0.2631125507681457,pd_v0,PD,0.0,7500
0.9860884582174039,0.9729269216205982,0.9996109706282824,0.8682417223373613,0.12363343548632642,pd_v0,PD,0.0,7500
0.9816564758198999,0.964184319720463,0.9997735507246377,0.05680630575531076,0.9291607457777706,pd_v0,PD,0.0,7500
0.981730304494925,0.9641161951775205,1.0,0.09607110257945539,1.1451134842207595,pd_v0,PD,0.0,7500
0.9911851126346719,0.9836702954898912,0.9988156336360048,0.04582310893435637,1.0653167370035044,pd_v0,PD,0.0,7500
0.9857787810383747,0.9728224548897304,0.9990848776023793,0.21254409171075828,0.783591470258137,pd_v0,PD,0.0,7500
0.9672693266832918,0.9374622356495468,0.9990341274951706,0.8345,0.0,pd_v0,PD,0.0,7500
0.9945216200352182,0.9891029383148473,1.0,0.3488301269008979,0.5844880953215533,pd_v0,PD,0.0,10000
0.9921626255204506,0.9844471445929526,1.0,0.6784325977240304,0.3075574855989404,pd_v0,PD,0.0,10000
0.990709773318469,0.98195211786372,0.9996250468691413,0.7045163469374162,0.2618524647573273,pd_v0,PD,0.0,10000
0.9881742140178829,0.9769961977186312,0.9996109706282824,0.8729333723962572,0.12109530055870642,pd_v0,PD,0.0,10000
0.9835152595232791,0.9677772906619904,0.9997735507246377,0.056047363387829896,0.930145306332751,pd_v0,PD,0.0,10000
0.9871695178849145,0.9746641074856046,1.0,0.09426520256444604,1.1414769650849663,pd_v0,PD,0.0,10000
0.9920580449063634,0.9855834794467173,0.9986182392420055,0.044765225937000275,1.063672475923212,pd_v0,PD,0.0,10000
0.9889039855072463,0.9789284913696481,0.9990848776023793,0.21477807172251617,0.7821092026003459,pd_v0,PD,0.0,10000
